isStance,sentence
,"Focused on key customer groups such as high-tech enterprises, sci-tech enterprises of small and medium sizes, and small and medium enterprises using special and sophisticated technologies to produce novel and unique products and keenly aware of what sci-tech enterprises actually needed, the Bank created a credit approval process and credit evaluation model adapted to the characteristics of sci-tech enterprises, used artificial intelligence, big data, and other information technologies to improve the credit risk assessment capabilities, and provided the accurately layered and categorised support through digital means."
,"Special training on product and service sales, complaints handling, and other themes were organised in light of what employees actually needed."
