isStance,sentence
,"The process was as follows Feihe attaches importance to the environmental, social and governance (ESG) issues that are crucial to our sustainability with a commitment to high-level corporate governance; we strive to align ourselves to the best international and local corporate governance practices for the interests of shareholders, other investors, customers, suppliers, employees and the public."
,"This ranking was represented in the form of a matrix, which provides a crucial foundation for our ESG strategies, goals and disclosure."
