isStance,sentence
,Our carbon reduction philosophy also influences suppli - ers to actively consider sustainability issues during the construction and operation of their facilities.
,"Moreover, an employee survey was also conducted on the office waste management topic to gain a better un - derstanding of employees overall awareness, as well as to consider the optimal way to implement their sugges - tions on a scheme for waste classification at the office."
