isStance,sentence
,"The material ESG issues of Feihe in 2021 are determined as follows Feihe's ESG materiality matrix 2021Importance to stakeholdersImportance to the Company LowMedium High 751 6 92 4 3Social issuesEnvironmental issues Nineteen issues concerning the environment, labour, operations, communities and, corporate governance were identified."
,The board's responsibilities are determined as per our amended and restated memorandum and Articles of Association.
