isStance,sentence
,"In this digital world, visually impaired users will find it incredibly difficult to use electronic products and will be unable to keep up with the rapidly evolving information environment without appropriate voice assistive technologies."
,"The viewer uses a flashlight to find out what s going on inside the building, thus starting a dialog going beyond time and space."
