Marker,Frequency
plan,77
committed,16
dedicated,11
interest,11
like,9
possible,6
love,5
aim,4
seek,3
conveniently,3
need,3
require,2
hard,2
pain,2
impossible,1
easy,1
enjoy,1
hope,1
complex,1
difficult,1
want,1
strive,1
determined,1
