Marker,Frequency
plan,48
like,20
committed,18
hope,17
dedicated,13
aim,7
interest,5
complex,4
strive,4
determined,2
require,2
need,2
difficult,1
able,1
pain,1
possible,1
simple,1
easy,1
enjoy,1
hard,1
