Marker,Frequency
aim,15
plan,13
committed,12
strive,11
dedicated,6
hope,6
interest,5
need,4
like,3
require,3
love,2
want,2
seek,2
alarm,2
naturally,1
look,1
simple,1
possible,1
able,1
enjoy,1
